nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
922,-20,36,5,80.53,3.24,0.107,0.5,1,-3
2401,-20,36,4,80.70,2.81,0.057,0.3,1,-7
5660,-20,36,3,80.67,2.70,0.036,0.3,1,-5
21180,-20,36,2,80.46,2.98,0.020,0.5,1,-9
216485,-20,36,1,81.23,5.28,0.011,-0.2,0,-15
153,-20,35,6,80.15,4.43,0.358,0.9,2,-3
841,-20,35,5,80.36,3.40,0.117,0.6,1,-3
2752,-20,35,4,80.52,2.78,0.053,0.5,1,-5
6528,-20,35,3,80.46,2.84,0.035,0.5,1,-6
20178,-20,35,2,80.44,2.98,0.021,0.6,1,-7
160145,-20,35,1,80.72,5.03,0.013,0.3,1,-12
94,-20,34,6,80.76,5.64,0.582,0.2,0,-5
674,-20,34,5,80.44,2.92,0.112,0.6,1,-2
2233,-20,34,4,80.48,2.99,0.063,0.5,1,-4
4831,-20,34,3,80.78,2.78,0.040,0.2,0,-5
17052,-20,34,2,80.61,3.01,0.023,0.4,1,-5
225575,-20,34,1,80.90,5.50,0.012,0.1,0,-14
161,-20,33,6,79.59,6.25,0.493,1.4,3,-6
824,-20,33,5,80.68,3.52,0.123,0.3,1,0
1949,-20,33,4,80.49,2.86,0.065,0.5,1,-4
6948,-20,33,3,80.55,2.74,0.033,0.4,1,-3
21203,-20,33,2,80.38,3.06,0.021,0.6,1,-7
198513,-20,33,1,80.77,5.24,0.012,0.2,0,-14
309,-20,32,6,80.51,4.99,0.284,0.5,1,-2
1114,-20,32,5,80.70,2.95,0.088,0.3,1,-1
2811,-20,32,4,80.42,3.00,0.057,0.6,1,-4
4157,-20,32,3,80.65,3.00,0.047,0.4,1,-3
18548,-20,32,2,80.28,3.08,0.023,0.7,1,-6
170145,-20,32,1,81.07,5.14,0.012,-0.1,0,-12
210,-20,31,6,79.70,5.03,0.347,1.3,3,0
1091,-20,31,5,80.18,3.58,0.108,0.8,2,1
3090,-20,31,4,80.44,3.05,0.055,0.6,1,-3
7153,-20,31,3,80.41,2.89,0.034,0.6,1,-3
22233,-20,31,2,80.50,3.11,0.021,0.5,1,-6
226317,-20,31,1,80.73,5.40,0.011,0.3,1,-10
188,-20,30,6,79.98,6.89,0.503,1.0,2,-6
832,-20,30,5,80.47,3.48,0.121,0.5,1,-5
1845,-20,30,4,80.18,2.64,0.061,0.8,2,-4
6680,-20,30,3,80.64,2.67,0.033,0.4,1,-5
23102,-20,30,2,80.72,2.97,0.020,0.3,1,-7
197274,-20,30,1,81.15,5.40,0.012,-0.1,0,-14
162,-20,29,6,81.39,6.15,0.484,-0.4,0,-9
1068,-20,29,5,80.25,3.80,0.116,0.8,2,-4
2517,-20,29,4,80.85,3.00,0.060,0.1,0,-6
6713,-20,29,3,80.65,2.88,0.035,0.3,1,-5
20213,-20,29,2,80.35,2.92,0.021,0.7,1,-8
244300,-20,29,1,81.19,5.34,0.011,-0.2,0,-13
242,-20,28,6,79.59,4.54,0.292,1.4,3,0
1000,-20,28,5,80.62,3.27,0.103,0.4,1,-3
2340,-20,28,4,80.29,2.95,0.061,0.7,1,-4
6987,-20,28,3,80.67,3.00,0.036,0.3,1,-2
21254,-20,28,2,80.63,2.95,0.020,0.4,1,-5
234498,-20,28,1,81.00,5.33,0.011,0.0,0,-12
168,-20,27,6,80.25,3.65,0.282,0.7,1,0
940,-20,27,5,80.84,3.06,0.100,0.2,0,0
2337,-20,27,4,80.70,3.04,0.063,0.3,1,-3
6611,-20,27,3,80.41,2.95,0.036,0.6,1,-5
25342,-20,27,2,80.73,3.13,0.020,0.3,1,-6
188182,-20,27,1,80.67,5.25,0.012,0.3,1,-12
196,-20,26,6,80.62,6.53,0.467,0.4,0,-11
947,-20,26,5,80.38,2.96,0.096,0.6,1,-6
2125,-20,26,4,80.49,2.94,0.064,0.5,1,-8
7408,-20,26,3,80.84,2.73,0.032,0.2,0,-6
20638,-20,26,2,80.64,2.90,0.020,0.4,1,-10
205861,-20,26,1,80.94,5.49,0.012,0.1,0,-19
189,-20,25,6,80.40,5.32,0.387,0.6,1,-7
1080,-20,25,5,80.55,3.35,0.102,0.4,1,-2
2084,-20,25,4,80.76,3.00,0.066,0.2,0,-6
6675,-20,25,3,80.37,2.67,0.033,0.6,1,-7
20506,-20,25,2,80.43,2.90,0.020,0.6,1,-9
183082,-20,25,1,80.86,5.14,0.012,0.1,0,-14
244,-20,24,6,80.44,5.57,0.357,0.6,1,-3
1405,-20,24,5,80.57,3.23,0.086,0.4,1,-3
3170,-20,24,4,80.41,3.16,0.056,0.6,1,-5
5958,-20,24,3,80.27,2.65,0.034,0.7,1,-4
22454,-20,24,2,80.39,3.09,0.021,0.6,1,-6
217724,-20,24,1,80.97,5.22,0.011,0.0,0,-12
139,-20,23,6,80.05,5.72,0.485,1.0,2,-2
1032,-20,23,5,80.16,3.00,0.093,0.8,2,-2
2480,-20,23,4,80.67,2.79,0.056,0.3,1,-5
7181,-20,23,3,80.40,2.80,0.033,0.6,1,-5
20530,-20,23,2,80.36,3.08,0.021,0.6,1,-7
214223,-20,23,1,81.07,5.26,0.011,-0.1,0,-13
148,-20,22,6,78.93,5.24,0.431,2.1,4,-5
839,-20,22,5,79.51,3.05,0.105,1.5,3,-3
2384,-20,22,4,79.35,3.00,0.061,1.7,3,-6
7023,-20,22,3,79.69,3.00,0.036,1.3,3,-8
17060,-20,22,2,79.44,2.89,0.022,1.6,3,-7
212565,-20,22,1,80.18,5.44,0.012,0.8,2,-15
159,-20,21,6,79.07,6.11,0.485,1.9,4,-8
1007,-20,21,5,79.43,3.32,0.105,1.6,3,-3
2198,-20,21,4,79.58,2.74,0.058,1.4,3,-7
7061,-20,21,3,79.70,2.86,0.034,1.3,3,-6
22650,-20,21,2,79.41,2.93,0.019,1.6,3,-9
207177,-20,21,1,80.04,5.26,0.012,1.0,2,-14
205,-20,20,6,78.81,4.73,0.331,2.2,4,-3
1193,-20,20,5,79.90,3.42,0.099,1.1,2,-3
2387,-20,20,4,79.37,3.03,0.062,1.6,3,-6
4655,-20,20,3,79.54,2.72,0.040,1.5,3,-4
17006,-20,20,2,79.63,2.94,0.023,1.4,3,-7
234909,-20,20,1,79.99,5.18,0.011,1.0,2,-13
180,-20,19,6,79.54,4.73,0.352,1.5,3,-1
1064,-20,19,5,79.58,3.01,0.092,1.4,3,0
2668,-20,19,4,79.31,3.17,0.061,1.7,3,-4
8359,-20,19,3,79.61,2.83,0.031,1.4,3,-4
23848,-20,19,2,79.38,3.09,0.020,1.6,3,-7
192123,-20,19,1,79.85,5.14,0.012,1.2,2,-12
165,-20,18,6,79.70,6.68,0.520,1.3,3,-7
829,-20,18,5,79.14,2.90,0.101,1.9,4,-2
2041,-20,18,4,79.65,3.03,0.067,1.3,3,-4
5688,-20,18,3,79.37,2.73,0.036,1.6,3,-7
18259,-20,18,2,79.38,2.84,0.021,1.6,3,-8
176126,-20,18,1,79.84,5.28,0.013,1.2,2,-15
122,-20,17,6,80.09,6.06,0.549,0.9,2,-8
971,-20,17,5,79.27,4.31,0.138,1.7,3,-3
3090,-20,17,4,79.67,3.23,0.058,1.3,3,-5
7426,-20,17,3,79.75,3.06,0.036,1.2,2,-5
24824,-20,17,2,79.58,3.09,0.020,1.4,3,-8
212780,-20,17,1,79.79,5.26,0.011,1.2,2,-13
203,-20,16,6,79.05,4.46,0.313,2.0,4,-1
1127,-20,16,5,79.12,2.97,0.088,1.9,4,-1
1919,-20,16,4,79.27,3.05,0.070,1.7,3,-6
5869,-20,16,3,79.71,2.74,0.036,1.3,3,-4
19738,-20,16,2,79.54,2.90,0.021,1.5,3,-7
239113,-20,16,1,80.05,5.45,0.011,1.0,2,-13
152,-20,15,6,78.08,4.38,0.355,2.9,6,-1
1061,-20,15,5,79.47,3.27,0.100,1.5,3,-2
2250,-20,15,4,79.56,2.81,0.059,1.4,3,-6
6003,-20,15,3,79.65,2.71,0.035,1.3,3,-8
22014,-20,15,2,79.49,3.12,0.021,1.5,3,-8
205609,-20,15,1,79.72,5.11,0.011,1.3,3,-13
131,-20,14,6,79.61,5.82,0.508,1.4,3,-5
640,-20,14,5,79.13,3.20,0.126,1.9,4,-3
2428,-20,14,4,79.53,2.97,0.060,1.5,3,-5
4386,-20,14,3,79.26,2.76,0.042,1.7,3,-7
20660,-20,14,2,79.71,2.98,0.021,1.3,3,-7
191938,-20,14,1,80.21,5.32,0.012,0.8,2,-14
85,-20,13,6,79.62,4.75,0.515,1.4,3,-7
890,-20,13,5,79.58,3.08,0.103,1.4,3,-3
1880,-20,13,4,80.32,2.87,0.066,0.7,1,-9
6109,-20,13,3,79.43,2.78,0.036,1.6,3,-5
22127,-20,13,2,80.29,2.99,0.020,0.7,1,-12
184639,-20,13,1,81.00,5.20,0.012,-0.0,0,-18
217,-20,12,6,79.67,5.56,0.378,1.3,3,-3
1200,-20,12,5,79.54,3.25,0.094,1.5,3,-3
2318,-20,12,4,79.38,2.95,0.061,1.6,3,-9
6690,-20,12,3,79.53,2.79,0.034,1.5,3,-4
28014,-20,12,2,79.80,3.08,0.018,1.2,2,-10
234752,-20,12,1,80.05,5.21,0.011,0.9,2,-16
236,-20,11,6,79.67,5.96,0.388,1.3,3,-3
926,-20,11,5,79.36,3.02,0.099,1.6,3,-1
2817,-20,11,4,79.32,2.95,0.056,1.7,3,-5
7705,-20,11,3,79.55,2.82,0.032,1.5,3,-5
16864,-20,11,2,79.63,2.98,0.023,1.4,3,-5
175957,-20,11,1,79.68,5.12,0.012,1.3,3,-11
242,-20,10,6,78.61,5.78,0.371,2.4,5,-5
877,-20,10,5,79.20,3.31,0.112,1.8,4,-2
2667,-20,10,4,79.28,2.83,0.055,1.7,3,-4
7578,-20,10,3,79.60,2.81,0.032,1.4,3,-5
16209,-20,10,2,79.80,2.84,0.022,1.2,2,-7
203167,-20,10,1,79.87,5.31,0.012,1.1,2,-13
185,-20,9,6,78.86,7.39,0.543,2.1,4,-10
990,-20,9,5,80.02,3.32,0.106,1.0,2,-1
2337,-20,9,4,79.62,3.25,0.067,1.4,3,-5
7596,-20,9,3,79.70,2.74,0.031,1.3,3,-7
22851,-20,9,2,79.25,2.88,0.019,1.8,4,-6
190935,-20,9,1,79.74,5.17,0.012,1.3,3,-14
159,-20,8,6,78.74,4.10,0.325,2.3,5,0
1114,-20,8,5,79.36,3.81,0.114,1.6,3,-3
2165,-20,8,4,79.65,2.98,0.064,1.4,3,-2
8616,-20,8,3,79.66,3.01,0.032,1.3,3,-3
27723,-20,8,2,79.60,3.07,0.018,1.4,3,-4
245279,-20,8,1,79.94,5.33,0.011,1.1,2,-12
156,-20,7,6,79.02,4.64,0.372,2.0,4,-1
1147,-20,7,5,79.50,3.05,0.090,1.5,3,1
2312,-20,7,4,79.35,3.18,0.066,1.6,3,-3
6594,-20,7,3,79.62,2.83,0.035,1.4,3,-2
27363,-20,7,2,79.60,3.11,0.019,1.4,3,-5
194312,-20,7,1,79.87,5.21,0.012,1.1,2,-11
207,-20,6,6,78.50,6.23,0.433,2.5,5,-5
816,-20,6,5,78.86,2.82,0.099,2.1,4,-4
2075,-20,6,4,79.21,2.78,0.061,1.8,4,-5
6672,-20,6,3,79.29,2.73,0.033,1.7,3,-8
16800,-20,6,2,79.54,2.78,0.021,1.5,3,-9
202348,-20,6,1,80.08,5.45,0.012,0.9,2,-16
170,-20,5,6,78.31,6.49,0.498,2.7,5,-11
859,-20,5,5,79.59,3.01,0.103,1.4,3,-3
2344,-20,5,4,79.47,3.07,0.063,1.5,3,-6
7628,-20,5,3,79.39,2.69,0.031,1.6,3,-7
25243,-20,5,2,79.47,3.03,0.019,1.5,3,-9
233932,-20,5,1,80.23,5.34,0.011,0.8,2,-15
160,-20,4,6,79.70,5.84,0.462,1.3,3,-4
988,-20,4,5,79.57,2.83,0.090,1.4,3,-2
1726,-20,4,4,79.63,2.67,0.064,1.4,3,-5
7498,-20,4,3,79.77,2.83,0.033,1.2,2,-6
22469,-20,4,2,79.29,3.03,0.020,1.7,3,-8
180508,-20,4,1,79.67,5.09,0.012,1.3,3,-14
141,-20,3,6,79.62,4.65,0.392,1.4,3,-3
792,-20,3,5,79.62,3.19,0.113,1.4,3,-1
2032,-20,3,4,79.67,2.42,0.054,1.3,3,-4
6403,-20,3,3,79.80,2.79,0.035,1.2,2,-6
20010,-20,3,2,79.36,3.00,0.021,1.6,3,-8
203058,-20,3,1,80.06,5.20,0.012,0.9,2,-13
89,-20,2,6,78.10,4.45,0.471,2.9,6,-3
798,-20,2,5,79.08,2.74,0.097,1.9,4,-2
2628,-20,2,4,79.18,3.08,0.060,1.8,4,-4
6502,-20,2,3,79.42,2.69,0.033,1.6,3,-7
19693,-20,2,2,79.71,2.90,0.021,1.3,3,-6
205376,-20,2,1,79.94,5.42,0.012,1.1,2,-14
158,-20,1,6,79.04,6.14,0.489,2.0,4,-7
1025,-20,1,5,79.49,3.11,0.097,1.5,3,-2
2529,-20,1,4,79.39,2.96,0.059,1.6,3,-6
6977,-20,1,3,79.45,2.78,0.033,1.5,3,-8
22967,-20,1,2,79.36,2.98,0.020,1.6,3,-10
240761,-20,1,1,80.04,5.42,0.011,1.0,2,-16
99,-19,72,6,79.51,5.83,0.586,1.5,3,-1
725,-19,72,5,79.49,2.92,0.109,1.5,3,-1
1962,-19,72,4,79.65,2.89,0.065,1.3,3,-5
5132,-19,72,3,79.39,3.20,0.045,1.6,3,-5
16182,-19,72,2,79.68,3.28,0.026,1.3,3,-4
156555,-19,72,1,79.92,5.49,0.014,1.1,2,-15
110,-19,71,6,79.04,4.80,0.458,2.0,4,-3
776,-19,71,5,79.71,2.78,0.100,1.3,3,0
1875,-19,71,4,79.24,2.95,0.068,1.8,4,-4
4678,-19,71,3,79.44,3.24,0.047,1.6,3,-5
15768,-19,71,2,79.53,3.10,0.025,1.5,3,-5
194467,-19,71,1,79.96,5.60,0.013,1.0,2,-14
146,-19,70,6,81.03,6.59,0.545,-0.0,0,-6
511,-19,70,5,80.12,2.94,0.130,0.9,2,-1
1258,-19,70,4,80.20,2.76,0.078,0.8,2,-6
5609,-19,70,3,80.40,3.02,0.040,0.6,1,-7
23300,-19,70,2,81.77,3.30,0.022,-0.8,-2,-12
191079,-19,70,1,81.22,5.74,0.013,-0.2,0,-15
111,-19,69,6,81.45,6.22,0.591,-0.5,0,-8
698,-19,69,5,80.28,3.31,0.125,0.7,1,-3
1410,-19,69,4,80.49,3.24,0.086,0.5,1,-6
4952,-19,69,3,80.69,2.91,0.041,0.3,1,-6
14827,-19,69,2,80.54,3.16,0.026,0.5,1,-10
157597,-19,69,1,80.99,5.50,0.014,0.0,0,-17
176,-19,68,6,79.13,5.45,0.411,1.9,4,-3
781,-19,68,5,80.16,3.12,0.112,0.8,2,-1
1855,-19,68,4,80.31,3.71,0.086,0.7,1,-7
5247,-19,68,3,80.31,2.90,0.040,0.7,1,-5
18938,-19,68,2,80.27,3.24,0.024,0.7,1,-6
154540,-19,68,1,81.11,5.44,0.014,-0.1,0,-15
120,-19,67,6,79.78,4.89,0.446,1.2,2,-1
700,-19,67,5,80.21,3.12,0.118,0.8,2,0
1955,-19,67,4,80.36,3.09,0.070,0.6,1,-3
5274,-19,67,3,80.46,2.79,0.038,0.5,1,-4
16355,-19,67,2,80.58,3.31,0.026,0.4,1,-5
146678,-19,67,1,80.87,5.37,0.014,0.1,0,-13
183,-19,66,6,80.77,7.58,0.560,0.2,0,-9
594,-19,66,5,80.63,3.08,0.127,0.4,1,-2
1458,-19,66,4,80.67,3.72,0.097,0.3,1,-6
5541,-19,66,3,80.57,2.97,0.040,0.4,1,-8
15078,-19,66,2,80.66,3.28,0.027,0.3,1,-9
153501,-19,66,1,80.98,5.64,0.014,0.0,0,-17
119,-19,65,6,80.99,7.26,0.665,0.0,0,-9
699,-19,65,5,80.19,3.47,0.131,0.8,2,-3
1645,-19,65,4,80.58,3.17,0.078,0.4,1,-6
6273,-19,65,3,80.41,2.99,0.038,0.6,1,-7
16148,-19,65,2,80.82,3.23,0.025,0.2,0,-7
198151,-19,65,1,80.52,5.71,0.013,0.5,1,-17
151,-19,64,6,80.33,5.89,0.480,0.7,1,-3
824,-19,64,5,80.76,3.54,0.123,0.2,0,-2
1628,-19,64,4,80.51,3.00,0.074,0.5,1,-4
6057,-19,64,3,80.25,2.94,0.038,0.8,2,-5
16410,-19,64,2,80.32,3.14,0.025,0.7,1,-5
163751,-19,64,1,80.84,5.45,0.013,0.2,0,-16
108,-19,63,6,80.33,5.22,0.502,0.7,1,-2
685,-19,63,5,80.71,3.06,0.117,0.3,1,0
1551,-19,63,4,80.66,3.05,0.077,0.3,1,-4
4367,-19,63,3,80.80,3.26,0.049,0.2,0,-7
17261,-19,63,2,80.52,3.38,0.026,0.5,1,-7
158939,-19,63,1,80.79,5.46,0.014,0.2,0,-14
116,-19,62,6,79.32,6.07,0.563,1.7,3,-5
537,-19,62,5,80.46,3.36,0.145,0.5,1,-3
1385,-19,62,4,80.73,3.08,0.083,0.3,1,-6
5001,-19,62,3,80.22,2.95,0.042,0.8,2,-8
16576,-19,62,2,80.49,3.13,0.024,0.5,1,-9
158052,-19,62,1,81.23,5.63,0.014,-0.2,0,-16
84,-19,61,6,79.25,3.71,0.405,1.8,4,-6
659,-19,61,5,81.51,3.36,0.131,-0.5,-1,-4
1604,-19,61,4,81.24,2.94,0.073,-0.2,0,-9
5554,-19,61,3,80.27,2.82,0.038,0.7,1,-7
17709,-19,61,2,80.69,3.22,0.024,0.3,1,-8
173815,-19,61,1,82.15,5.49,0.013,-1.1,-2,-19
127,-19,60,6,80.81,5.59,0.496,0.2,0,-5
609,-19,60,5,80.59,3.48,0.141,0.4,1,-1
1165,-19,60,4,80.52,2.68,0.078,0.5,1,-6
5698,-19,60,3,80.68,3.10,0.041,0.3,1,-6
13297,-19,60,2,80.67,3.15,0.027,0.3,1,-7
170986,-19,60,1,81.21,5.37,0.013,-0.2,0,-15
91,-19,59,6,80.11,3.73,0.392,0.9,2,-1
678,-19,59,5,80.51,3.38,0.130,0.5,1,-2
1382,-19,59,4,80.32,2.88,0.078,0.7,1,-6
4778,-19,59,3,80.49,2.94,0.043,0.5,1,-7
20709,-19,59,2,80.45,3.49,0.024,0.6,1,-8
192058,-19,59,1,80.93,5.59,0.013,0.1,0,-16
122,-19,58,6,79.29,7.04,0.637,1.7,3,-6
395,-19,58,5,80.38,3.36,0.169,0.6,1,-1
1620,-19,58,4,80.37,2.83,0.070,0.6,1,-5
5721,-19,58,3,80.20,2.77,0.037,0.8,2,-6
18880,-19,58,2,80.46,3.21,0.023,0.5,1,-8
156082,-19,58,1,81.01,5.62,0.014,-0.0,0,-15
119,-19,57,6,80.41,5.45,0.499,0.6,1,-6
689,-19,57,5,80.22,2.99,0.114,0.8,2,-1
1709,-19,57,4,80.74,2.94,0.071,0.3,1,-5
5506,-19,57,3,80.53,3.01,0.041,0.5,1,-6
17730,-19,57,2,80.67,3.20,0.024,0.3,1,-7
187924,-19,57,1,81.01,5.72,0.013,-0.0,0,-16
190,-19,56,6,81.51,5.30,0.384,-0.5,-1,-3
669,-19,56,5,80.41,3.03,0.117,0.6,1,-1
2050,-19,56,4,80.40,2.93,0.065,0.6,1,-4
4714,-19,56,3,80.66,3.10,0.045,0.3,1,-5
12754,-19,56,2,80.71,3.35,0.030,0.3,1,-4
192344,-19,56,1,81.06,5.61,0.013,-0.1,0,-14
128,-19,55,6,81.07,4.76,0.421,-0.1,0,0
669,-19,55,5,80.83,3.48,0.134,0.2,0,0
2287,-19,55,4,80.33,3.07,0.064,0.7,1,-5
4990,-19,55,3,80.72,2.99,0.042,0.3,1,-5
11271,-19,55,2,80.70,3.23,0.030,0.3,1,-6
191378,-19,55,1,81.07,5.62,0.013,-0.1,0,-14
159,-19,54,6,81.06,7.24,0.574,-0.1,0,-7
673,-19,54,5,80.53,4.12,0.159,0.5,1,-1
1472,-19,54,4,80.52,3.10,0.081,0.5,1,-5
4640,-19,54,3,80.29,3.27,0.048,0.7,1,-8
15510,-19,54,2,80.43,3.31,0.027,0.6,1,-8
148207,-19,54,1,80.95,5.46,0.014,0.1,0,-15
126,-19,53,6,80.50,5.66,0.505,0.5,0,-7
821,-19,53,5,80.60,4.21,0.147,0.4,1,-1
1716,-19,53,4,80.32,2.90,0.070,0.7,1,-6
5755,-19,53,3,80.38,3.12,0.041,0.6,1,-7
14946,-19,53,2,80.70,3.14,0.026,0.3,1,-6
187889,-19,53,1,80.95,5.63,0.013,0.1,0,-16
198,-19,52,6,80.99,5.91,0.420,0.0,0,-4
693,-19,52,5,80.39,3.02,0.115,0.6,1,0
2006,-19,52,4,80.51,3.11,0.069,0.5,1,-5
5271,-19,52,3,80.36,3.02,0.042,0.6,1,-5
16531,-19,52,2,80.33,3.26,0.025,0.7,1,-4
194453,-19,52,1,81.16,5.63,0.013,-0.2,0,-14
170,-19,51,6,80.72,4.79,0.367,0.3,0,0
745,-19,51,5,80.51,3.38,0.124,0.5,1,1
2122,-19,51,4,80.56,3.17,0.069,0.4,1,-4
5321,-19,51,3,80.87,3.22,0.044,0.1,0,-4
15226,-19,51,2,80.55,3.22,0.026,0.4,1,-5
188075,-19,51,1,81.04,5.62,0.013,-0.0,0,-12
155,-19,50,6,78.83,6.93,0.557,2.2,4,-5
604,-19,50,5,79.88,2.72,0.111,1.1,2,1
2198,-19,50,4,80.45,3.10,0.066,0.5,1,-4
5224,-19,50,3,80.65,3.20,0.044,0.3,1,-5
16069,-19,50,2,80.53,3.20,0.025,0.5,1,-7
164241,-19,50,1,80.74,5.69,0.014,0.3,1,-15
99,-19,49,6,80.86,7.31,0.734,0.1,0,-8
642,-19,49,5,80.25,3.23,0.128,0.8,2,0
1695,-19,49,4,80.84,3.05,0.074,0.2,0,-4
4698,-19,49,3,80.37,2.87,0.042,0.6,1,-6
12845,-19,49,2,80.78,3.08,0.027,0.2,0,-7
174226,-19,49,1,80.88,5.61,0.013,0.1,0,-15
171,-19,48,6,80.79,6.26,0.479,0.2,0,-4
794,-19,48,5,80.59,3.37,0.120,0.4,1,1
1774,-19,48,4,80.61,3.14,0.075,0.4,1,-4
5530,-19,48,3,80.63,3.01,0.040,0.4,1,-3
15575,-19,48,2,80.34,3.16,0.025,0.7,1,-4
172707,-19,48,1,81.11,5.47,0.013,-0.1,0,-13
118,-19,47,6,80.64,5.04,0.464,0.4,0,0
726,-19,47,5,80.41,3.79,0.141,0.6,1,1
1989,-19,47,4,80.42,3.02,0.068,0.6,1,-3
5992,-19,47,3,80.43,3.15,0.041,0.6,1,-5
16675,-19,47,2,80.61,3.24,0.025,0.4,1,-5
181165,-19,47,1,81.29,5.65,0.013,-0.3,-1,-13
155,-19,46,6,80.39,6.17,0.496,0.6,1,-7
578,-19,46,5,80.76,3.30,0.137,0.2,0,-3
1537,-19,46,4,80.56,2.97,0.076,0.4,1,-5
3907,-19,46,3,80.56,2.94,0.047,0.4,1,-7
15322,-19,46,2,80.51,3.38,0.027,0.5,1,-8
170885,-19,46,1,81.29,5.66,0.014,-0.3,-1,-16
140,-19,45,6,79.71,6.50,0.550,1.3,3,-9
662,-19,45,5,80.54,3.77,0.146,0.5,1,-4
1799,-19,45,4,80.49,3.10,0.073,0.5,1,-6
5628,-19,45,3,80.32,2.93,0.039,0.7,1,-7
16275,-19,45,2,80.72,3.19,0.025,0.3,1,-9
168876,-19,45,1,80.84,5.60,0.014,0.2,0,-18
143,-19,44,6,80.94,6.30,0.527,0.1,0,-4
731,-19,44,5,80.43,3.29,0.122,0.6,1,0
1968,-19,44,4,80.63,2.97,0.067,0.4,1,-6
4942,-19,44,3,80.51,2.98,0.042,0.5,1,-7
16411,-19,44,2,80.55,3.40,0.027,0.5,1,-7
185979,-19,44,1,81.15,5.56,0.013,-0.1,0,-14
93,-19,43,6,78.90,4.12,0.428,2.1,4,0
738,-19,43,5,80.55,3.03,0.112,0.5,1,-1
1655,-19,43,4,80.41,3.22,0.079,0.6,1,-6
4825,-19,43,3,80.36,3.05,0.044,0.6,1,-6
16745,-19,43,2,80.25,3.13,0.024,0.8,2,-6
167646,-19,43,1,81.09,5.45,0.013,-0.1,0,-14
140,-19,42,6,79.04,7.61,0.643,2.0,4,-8
619,-19,42,5,80.31,2.76,0.111,0.7,1,-2
1406,-19,42,4,80.51,2.88,0.077,0.5,1,-7
5597,-19,42,3,80.60,3.06,0.041,0.4,1,-7
15912,-19,42,2,80.29,3.12,0.025,0.7,1,-8
164968,-19,42,1,81.00,5.65,0.014,0.0,0,-16
165,-19,41,6,80.88,6.96,0.542,0.1,0,-11
692,-19,41,5,80.48,3.08,0.117,0.5,1,-2
1772,-19,41,4,80.81,3.31,0.079,0.2,0,-7
5209,-19,41,3,80.34,2.94,0.041,0.7,1,-6
13685,-19,41,2,80.30,3.15,0.027,0.7,1,-7
168349,-19,41,1,81.10,5.53,0.013,-0.1,0,-16
231,-19,40,6,81.48,6.65,0.437,-0.5,-1,-4
938,-19,40,5,80.46,3.38,0.110,0.5,1,0
2385,-19,40,4,80.58,3.20,0.066,0.4,1,-6
5856,-19,40,3,80.89,2.93,0.038,0.1,0,-4
17561,-19,40,2,80.69,3.27,0.025,0.3,1,-5
194665,-19,40,1,81.24,5.63,0.013,-0.2,0,-14
144,-19,39,6,79.37,4.96,0.413,1.6,3,0
749,-19,39,5,80.36,3.90,0.142,0.6,1,0
2086,-19,39,4,80.44,3.20,0.070,0.6,1,-4
6003,-19,39,3,80.50,3.08,0.040,0.5,1,-4
14325,-19,39,2,80.36,3.28,0.027,0.6,1,-7
172133,-19,39,1,80.85,5.47,0.013,0.1,0,-13
127,-19,38,6,81.05,8.25,0.732,-0.0,0,-9
627,-19,38,5,80.59,3.45,0.138,0.4,1,-2
1917,-19,38,4,80.53,3.04,0.069,0.5,1,-6
5213,-19,38,3,80.64,3.05,0.042,0.4,1,-8
14407,-19,38,2,80.31,3.06,0.025,0.7,1,-8
167232,-19,38,1,80.80,5.72,0.014,0.2,0,-16
157,-19,37,6,80.44,7.06,0.564,0.6,0,-11
658,-19,37,5,80.45,2.76,0.107,0.6,1,-2
1688,-19,37,4,80.29,2.92,0.071,0.7,1,-6
5337,-19,37,3,80.46,2.97,0.041,0.5,1,-6
16302,-19,37,2,80.49,3.12,0.024,0.5,1,-7
184092,-19,37,1,81.07,5.59,0.013,-0.1,0,-16
137,-19,36,6,81.31,5.64,0.482,-0.3,0,-4
693,-19,36,5,80.93,3.32,0.126,0.1,0,-2
2131,-19,36,4,80.26,3.06,0.066,0.7,1,-9
4593,-19,36,3,80.28,2.98,0.044,0.7,1,-7
17410,-19,36,2,80.71,3.22,0.024,0.3,1,-5
188268,-19,36,1,81.17,5.54,0.013,-0.2,0,-17
126,-19,35,6,80.15,7.28,0.648,0.8,2,-3
616,-19,35,5,80.61,2.95,0.119,0.4,1,1
2139,-19,35,4,80.72,3.20,0.069,0.3,1,-5
5142,-19,35,3,80.54,2.86,0.040,0.5,1,-5
14258,-19,35,2,80.44,3.19,0.027,0.6,1,-7
167595,-19,35,1,80.90,5.46,0.013,0.1,0,-13
113,-19,34,6,80.33,5.79,0.545,0.7,1,-4
587,-19,34,5,80.38,3.42,0.141,0.6,1,-1
1253,-19,34,4,80.33,3.02,0.085,0.7,1,-3
4682,-19,34,3,80.65,2.88,0.042,0.4,1,-3
15708,-19,34,2,80.36,3.18,0.025,0.6,1,-5
164774,-19,34,1,81.08,5.67,0.014,-0.1,0,-14
87,-19,33,6,80.52,6.78,0.726,0.5,0,-7
685,-19,33,5,80.61,3.05,0.116,0.4,1,0
1319,-19,33,4,80.68,2.94,0.081,0.3,1,-2
